Feature,deepseek-r1_32b,gpt-oss_120b,gpt-oss_20b,qwen3_32b
has_loop,-0.036 (0.025),-0.020 (0.021),-0.063 (0.047),-0.116** (0.052)
loop_count,0.002 (0.004),-0.001 (0.004),0.000 (0.002),0.004 (0.005)
diameter,-0.001** (0.000),0.000 (0.000),-0.001 (0.001),-0.001 (0.000)
avg_clustering,-0.003 (1.517),-0.394 (1.287),-0.160 (0.654),-0.485 (1.646)
avg_path_length,0.002 (0.001),-0.002 (0.001),0.001 (0.002),0.000 (0.001)
small_world_index,-0.030 (0.062),0.041 (0.075),0.015 (0.031),0.020 (0.072)
const,0.499*** (0.032),0.495*** (0.027),0.521*** (0.050),0.603*** (0.060)
