TDA Feature,avg_path_length,diameter,loop_count,small_world_index,avg_clustering
H0_count,-0.415*** (0.091),-1.183*** (0.266),-0.013 (0.018),0.012*** (0.003),0.000*** (0.000)
H0_total_life,0.002 (0.691),-0.253 (2.021),0.091 (0.134),-0.012 (0.025),-0.002 (0.001)
H0_max_life,51.663 (236.393),33.962 (691.923),0.496 (45.946),6.611 (8.497),0.507 (0.402)
H0_mean_life,-600.116*** (223.489),-1670.623** (654.152),-49.117 (43.438),7.378 (8.033),0.119 (0.380)
H0_entropy,145.430*** (40.562),407.029*** (118.724),0.605 (7.884),-3.448** (1.458),-0.090 (0.069)
H0_skewness,-3.590 (15.101),-9.519 (44.200),-1.734 (2.935),1.123** (0.543),0.046* (0.026)
H0_max_birth,0.000* (0.000),0.000* (0.000),-0.000 (0.000),-0.000 (0.000),0.000 (0.000)
H0_max_death,51.663 (236.393),33.962 (691.923),0.496 (45.946),6.611 (8.497),0.507 (0.402)
H1_count,0.430* (0.221),1.357** (0.648),-0.005 (0.043),-0.017** (0.008),-0.000 (0.000)
H1_total_life,-6.944 (5.034),-20.193 (14.735),0.135 (0.978),0.357* (0.181),0.016* (0.009)
H1_max_life,69.445 (64.623),270.852 (189.152),19.560 (12.560),0.322 (2.323),-0.055 (0.110)
H1_mean_life,714.637 (711.934),1733.528 (2083.830),-93.571 (138.375),-42.298 (25.591),-1.477 (1.211)
H1_entropy,-5.522 (14.962),-17.942 (43.795),-0.816 (2.908),0.396 (0.538),0.003 (0.025)
H1_skewness,-3.870 (5.707),-13.735 (16.704),-1.279 (1.109),0.124 (0.205),0.009 (0.010)
H1_max_birth,-67.629 (52.720),-173.868 (154.311),-3.769 (10.247),1.508 (1.895),0.080 (0.090)
H1_max_death,77.881 (62.657),235.462 (183.397),7.220 (12.178),-2.435 (2.252),-0.177* (0.107)
H0_betti_peak,-0.415*** (0.091),-1.183*** (0.266),-0.013 (0.018),0.012*** (0.003),0.000*** (0.000)
H0_betti_location,-542.879* (276.310),-1473.455* (808.760),71.051 (53.705),-20.449** (9.932),-1.085** (0.470)
H0_betti_width,-40.161 (79.116),-119.210 (231.572),17.964 (15.377),-5.246* (2.844),-0.168 (0.135)
H0_betti_centroid,1454.652*** (556.468),4075.424** (1628.782),-70.531 (108.158),33.442* (20.002),2.072** (0.947)
H0_betti_spread,-1162.641** (558.895),-3223.020* (1635.887),117.774 (108.629),-42.006** (20.090),-2.144** (0.951)
H0_betti_trend,191.429* (111.416),408.535 (326.114),4.964 (21.655),-0.260 (4.005),0.093 (0.190)
H1_betti_peak,-0.560** (0.268),-1.648** (0.785),0.003 (0.052),-0.001 (0.010),-0.000 (0.000)
H1_betti_location,2.587 (17.175),3.190 (50.272),-0.623 (3.338),-1.582** (0.617),-0.062** (0.029)
H1_betti_width,-21.360** (10.373),-64.819** (30.363),0.855 (2.016),0.110 (0.373),0.000 (0.018)
H1_betti_centroid,-20.707 (31.616),-41.713 (92.539),2.411 (6.145),1.449 (1.136),0.041 (0.054)
H1_betti_spread,64.629 (67.158),173.071 (196.571),-9.691 (13.053),-6.023** (2.414),-0.290** (0.114)
H1_betti_trend,6.760 (7.204),14.316 (21.086),-1.315 (1.400),-0.048 (0.259),0.001 (0.012)
H0_landscape_mean,8.611 (39.399),5.660 (115.321),0.083 (7.658),1.102 (1.416),0.085 (0.067)
H0_landscape_max,25.832 (118.197),16.981 (345.962),0.248 (22.973),3.305 (4.249),0.254 (0.201)
H0_landscape_area,271.150 (1417.103),1551.773 (4147.861),30.197 (275.434),-47.172 (50.938),-3.006 (2.411)
H1_landscape_mean,13.456 (306.710),-5.269 (897.742),6.444 (59.614),-3.882 (11.025),-0.210 (0.522)
H1_landscape_max,34.723 (32.312),135.426 (94.576),9.780 (6.280),0.161 (1.161),-0.028 (0.055)
H1_landscape_area,-553.346 (646.928),-1602.896 (1893.558),57.848 (125.740),33.702 (23.254),1.621 (1.101)
const,-455.379* (242.081),-1327.371* (708.572),2.353 (47.052),8.813 (8.702),0.057 (0.412)
